City,geography,Ethnic group (20 categories) Code,Ethnic group (20 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
St Asaph,Wales,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",True,area_to_city,44,1,Denbighshire
St Asaph,Wales,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",True,area_to_city,45,1,Denbighshire
St Asaph,Wales,9,Mixed or Multiple ethnic groups: White and Asian,True,area_to_city,350,1,Denbighshire
St Asaph,Wales,10,Mixed or Multiple ethnic groups: White and Black African,True,area_to_city,162,1,Denbighshire
St Asaph,Wales,11,Mixed or Multiple ethnic groups: White and Black Caribbean,True,area_to_city,313,1,Denbighshire
St Asaph,Wales,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,True,area_to_city,227,1,Denbighshire
St Asaph,Wales,13,"White: English, Welsh, Scottish, Northern Irish or British",True,area_to_city,90470,1,Denbighshire
St Asaph,Wales,14,White: Irish,True,area_to_city,484,1,Denbighshire
St Asaph,Wales,15,White: Gypsy or Irish Traveller,True,area_to_city,62,1,Denbighshire
St Asaph,Wales,16,White: Roma,True,area_to_city,32,1,Denbighshire
St Asaph,Wales,17,White: Other White,True,area_to_city,1440,1,Denbighshire
St Asaph,Wales,18,Other ethnic group: Arab,True,area_to_city,119,1,Denbighshire
St Asaph,Wales,19,Other ethnic group: Any other ethnic group,True,area_to_city,243,1,Denbighshire
St Davids,Wales,-8,Does not apply,True,area_to_city,0,1,Pembrokeshire
St Davids,Wales,1,"Asian, Asian British or Asian Welsh: Bangladeshi",True,area_to_city,146,1,Pembrokeshire
St Davids,Wales,2,"Asian, Asian British or Asian Welsh: Chinese",True,area_to_city,221,1,Pembrokeshire
St Davids,Wales,3,"Asian, Asian British or Asian Welsh: Indian",True,area_to_city,243,1,Pembrokeshire
St Davids,Wales,4,"Asian, Asian British or Asian Welsh: Pakistani",True,area_to_city,77,1,Pembrokeshire
St Davids,Wales,5,"Asian, Asian British or Asian Welsh: Other Asian",True,area_to_city,472,1,Pembrokeshire
St Davids,Wales,6,"Black, Black British, Black Welsh, Caribbean or African: African",True,area_to_city,147,1,Pembrokeshire
St Davids,Wales,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",True,area_to_city,55,1,Pembrokeshire
St Davids,Wales,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",True,area_to_city,42,1,Pembrokeshire
