nomis_dataset,DATE,DATE_NAME,SEX,SEX_NAME,PAY,PAY_NAME,ITEM,ITEM_NAME,MEASURES,MEASURES_NAME,GEOGRAPHY_NAME,OBS_VALUE,Source_Geography_Count,GEOGRAPHY_CODE,GEOGRAPHY
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Derby,4.7,1,E06000015,Derby
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Doncaster,479.1,1,E08000017,Doncaster
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Doncaster,5.0,1,E08000017,Doncaster
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Dundee,484.0,1,S12000042,Dundee
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Dundee,4.8,1,S12000042,Dundee
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Durham,488.4,1,E06000047,Durham
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Durham,2.7,1,E06000047,Durham
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Edinburgh,559.7,1,S12000036,Edinburgh
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Edinburgh,2.8,1,S12000036,Edinburgh
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Ely,564.7,1,E07000009,Ely
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Ely,7.3,1,E07000009,Ely
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Exeter,525.4,1,E07000041,Exeter
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Exeter,6.8,1,E07000041,Exeter
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Glasgow,522.2,1,S12000046,Glasgow
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Glasgow,2.8,1,S12000046,Glasgow
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Gloucester,499.9,1,E07000081,Gloucester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Gloucester,4.2,1,E07000081,Gloucester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Hereford,460.0,1,E06000019,Hereford
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Hereford,3.9,1,E06000019,Hereford
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Inverness,529.6,1,S12000017,Inverness
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Inverness,3.9,1,S12000017,Inverness
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Kingston upon Hull,452.0,1,E06000010,Kingston upon Hull
